uid,slug,name,state,area_ha,n_buildings,cls,start_period,start_is_pseudo,review_type,period,offset,n_valid,clear_frac,rmse,vegetation,soil,high_albedo,low_albedo,ndvi,ndbi,swir,soil_area_m2,high_albedo_area_m2,chip
eaab3189-fef6-4564-bd82-bd4b6d81c77b,amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189,Amazon Data Services Inc C/O Amazon.Com Inc / Attn: Prop Tax Campus,VA,89.79,7,positive,2025-03-H2,False,Expansion,2023-01-H1,-53,9223,1.0,0.04376,0.15578,0.01362,0.0,0.83059,0.65887,-0.07677,0.14564,0.0,0.0,results/chips_pos16par/amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189/2023-01-H1.png
eaab3189-fef6-4564-bd82-bd4b6d81c77b,amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189,Amazon Data Services Inc C/O Amazon.Com Inc / Attn: Prop Tax Campus,VA,89.79,7,positive,2025-03-H2,False,Expansion,2023-01-H2,-52,9266,1.0,0.03422,0.17037,0.01906,0.0,0.81057,0.62578,-0.0848,0.15319,0.0,0.0,results/chips_pos16par/amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189/2023-01-H2.png
eaab3189-fef6-4564-bd82-bd4b6d81c77b,amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189,Amazon Data Services Inc C/O Amazon.Com Inc / Attn: Prop Tax Campus,VA,89.79,7,positive,2025-03-H2,False,Expansion,2023-02-H1,-51,6351,0.7102,0.03684,0.16912,0.02613,0.0,0.80475,0.59339,-0.05826,0.16175,0.0,0.0,results/chips_pos16par/amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189/2023-02-H1.png
eaab3189-fef6-4564-bd82-bd4b6d81c77b,amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189,Amazon Data Services Inc C/O Amazon.Com Inc / Attn: Prop Tax Campus,VA,89.79,7,positive,2025-03-H2,False,Expansion,2023-02-H2,-50,8285,0.9265,0.04067,0.17611,0.01715,0.0,0.80674,0.64957,-0.04801,0.16302,0.0,0.0,results/chips_pos16par/amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189/2023-02-H2.png
eaab3189-fef6-4564-bd82-bd4b6d81c77b,amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189,Amazon Data Services Inc C/O Amazon.Com Inc / Attn: Prop Tax Campus,VA,89.79,7,positive,2025-03-H2,False,Expansion,2023-03-H1,-49,9266,1.0,0.04096,0.15369,0.01487,0.0,0.83144,0.63938,-0.06907,0.14776,0.0,0.0,results/chips_pos16par/amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189/2023-03-H1.png
eaab3189-fef6-4564-bd82-bd4b6d81c77b,amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189,Amazon Data Services Inc C/O Amazon.Com Inc / Attn: Prop Tax Campus,VA,89.79,7,positive,2025-03-H2,False,Expansion,2023-03-H2,-48,9266,1.0,0.03909,0.1798,0.04588,0.0,0.77432,0.60933,-0.01281,0.18487,0.0,0.0,results/chips_pos16par/amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189/2023-03-H2.png
eaab3189-fef6-4564-bd82-bd4b6d81c77b,amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189,Amazon Data Services Inc C/O Amazon.Com Inc / Attn: Prop Tax Campus,VA,89.79,7,positive,2025-03-H2,False,Expansion,2023-04-H1,-47,9266,1.0,0.03127,0.2158,0.02994,0.0,0.75426,0.6429,-0.08807,0.17754,0.0,0.0,results/chips_pos16par/amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189/2023-04-H1.png
eaab3189-fef6-4564-bd82-bd4b6d81c77b,amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189,Amazon Data Services Inc C/O Amazon.Com Inc / Attn: Prop Tax Campus,VA,89.79,7,positive,2025-03-H2,False,Expansion,2023-04-H2,-46,9266,1.0,0.03092,0.27308,0.0083,1e-05,0.71861,0.73853,-0.21104,0.15977,0.0,0.0,results/chips_pos16par/amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189/2023-04-H2.png
eaab3189-fef6-4564-bd82-bd4b6d81c77b,amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189,Amazon Data Services Inc C/O Amazon.Com Inc / Attn: Prop Tax Campus,VA,89.79,7,positive,2025-03-H2,False,Expansion,2023-05-H1,-45,8340,0.9327,0.01985,0.38686,0.0029,0.02097,0.58927,0.64853,-0.3428,0.16824,0.0,0.0,results/chips_pos16par/amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189/2023-05-H1.png
eaab3189-fef6-4564-bd82-bd4b6d81c77b,amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189,Amazon Data Services Inc C/O Amazon.Com Inc / Attn: Prop Tax Campus,VA,89.79,7,positive,2025-03-H2,False,Expansion,2023-05-H2,-44,9266,1.0,0.03283,0.40584,0.00383,3e-05,0.59029,0.81758,-0.38924,0.14664,0.0,0.0,results/chips_pos16par/amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189/2023-05-H2.png
